denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
HAIER FRANCE,,GROUPE CANDY HOOVER,,,HAIER FRANCE,,,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,53,,BD,ORNANO,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
FACTOFRANCE,,,,,,,,,,250 à 499 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,TOUR D2,17,B,PL,DES REFLETS,92400,COURBEVOIE,,92026,92988,PARIS LA DEFENSE CEDEX,,0,,,,0,,,0,,
SOCOTEC POWER SERVICES,,,,,,,,,,250 à 499 salariés,"Analyses, essais et inspections techniques","Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,5,,PL,DES FRERES MONTGOLFIER,78280,GUYANCOURT,,78297,0,,,0,,,,0,,,0,,
SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,SSI SERVICE,,,,SSI SERVICE,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Fabrication d'équipements de communication,Fabrication d'équipements de communication,Fabrication d'équipements de communication,"Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,PARC DES ALGORITHMES,0,,RTE,DE L'ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,0,,,0,,,,0,,,0,,
LES LABORATOIRES SERVIER,,SERVIER ARDRIX EUTHERAPIE BIOPHARMA,,,,,,,,50 à 99 salariés,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,True,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,,50,,RUE,CARNOT,92150,SURESNES,,92073,92284,SURESNES CEDEX,,0,,,,0,,,0,,
SOGECAP,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,True,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,TOUR DES 2,17,B,PL,DES REFLETS,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
SPIE BATIGNOLLES OUTAREX,,,,,,,,,,100 à 199 salariés,Travaux de maçonnerie générale et gros œuvre de bâtiment,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Travaux de construction spécialisés,Construction,True,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Autres travaux de construction spécialisés,Travaux de construction spécialisés,Construction,,113,,AV,ARISTIDE BRIAND,94110,ARCUEIL,,94003,0,,,0,,,,0,,,0,,
AUTORITE DE SURETE NUCLEAIRE,ASN,,,,,ASN,,,,100 à 199 salariés,"Analyses, essais et inspections techniques","Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,15,,RUE,LOUIS LEJEUNE,92120,MONTROUGE,CS 70013,92049,92541,MONTROUGE CEDEX,,0,,,,0,,,0,,
PLATEFORME DES DONNEES DE SANTE,,,,,,,,,,50 à 99 salariés,"Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes",Services d'information,Information et communication,True,"Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes ; portails Internet",Services d'information,Information et communication,,9,,RUE,GEORGES PITARD,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
DIRECTION DE L'INFORMATION LEGALE ET ADMINISTRATIVE,DILA,,,,,DILA,,,,500 à 999 salariés,Édition de journaux,Édition de journaux,Édition de journaux,Édition,Information et communication,True,Édition de journaux,Édition de journaux,Édition de livres et périodiques et autres activités d'édition,Édition,Information et communication,,26,,RUE,DESAIX,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
