denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SNEF,,,,,SNEF,,SNEF E-TCR,,,100 à 199 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,5,,RUE,CLAUDE BERNARD,78310,MAUREPAS,,78383,0,,,0,,,,0,,,0,,
ADIDAS FRANCE,,ADIDAS FRANCE,,,,,ADIDAS,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,22,,AV,DES CHAMPS ELYSEES,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
SPIE BATIGNOLLES OUTAREX,,,,,,,,,,100 à 199 salariés,Travaux de maçonnerie générale et gros œuvre de bâtiment,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Travaux de construction spécialisés,Construction,True,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Autres travaux de construction spécialisés,Travaux de construction spécialisés,Construction,,113,,AV,ARISTIDE BRIAND,94110,ARCUEIL,,94003,0,,,0,,,,0,,,0,,
HEXAOM,MFC,,,,HEXAOM  MAISONS FRANCE CONFORT- MFC  RENOVERT  MAISONS OPEN  OPEN  MAISONS BALENCY,MFC,,,,100 à 199 salariés,Promotion immobilière de logements,Promotion immobilière de logements,Promotion immobilière,Construction de bâtiments,Construction,False,Promotion immobilière de logements,Promotion immobilière,Promotion immobilière,Construction de bâtiments,Construction,,201,,RTE,NATIONALE 10,78310,COIGNIERES,,78168,0,,,0,,,,0,,,0,,
AUTORITE DE SURETE NUCLEAIRE,ASN,,,,,ASN,,,,100 à 199 salariés,"Analyses, essais et inspections techniques","Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,15,,RUE,LOUIS LEJEUNE,92120,MONTROUGE,CS 70013,92049,92541,MONTROUGE CEDEX,,0,,,,0,,,0,,
GROUPEMENT COOPERATION SANITAIRE BLANCHISSERIE INTERHOSPITALIERE SEINE ET MARNE,GCS BIH 77,,,,,GCS BIH 77,,,,100 à 199 salariés,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie,Autres services personnels,Autres activités de services,True,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie,Autres services personnels,Autres services personnels,Autres activités de services,,16,,RUE,DE LA BAUVE,77100,MEAUX,,77284,0,,,0,,,,0,,,0,,
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,IRD,,,,,IRD,CENTRE IRD D'ILE DE FRANCE,,,100 à 199 salariés,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",False,Recherche-développement en sciences humaines et sociales,Recherche-développement en sciences humaines et sociales,Recherche-développement en sciences humaines et sociales,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",,32,,AV,HENRI VARAGNAT,93140,BONDY,,93010,93143,BONDY CEDEX,,0,,,,0,,,0,,
CAISSE DES DEPOTS ET CONSIGNATIONS,CDC,,,,,CDC,SERVICES CENTRAUX,,,100 à 199 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,51,,RUE,DE LILLE,75007,PARIS 7,,75107,75356,PARIS SP 07,,0,,,,0,,,0,,
CAISSE DES DEPOTS ET CONSIGNATIONS,CDC,,,,,CDC,CDC IMMEUBLE AUSTERLITZ 4,,,100 à 199 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,198,,AV,DE FRANCE,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
MUSEE DE L'ARMEE,,,,,,,,,,100 à 199 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",HOTEL DES INVALIDES,0,,PL,DES INVALIDES,75007,PARIS 7,,75107,75700,PARIS SP 07,,0,,,,0,,,0,,
