denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
APRR,SAPRR,,,,,SAPRR,,,,50 à 99 salariés,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,DISTRICT NEMOURS,0,,,AUTOROUTE DU SOLEIL A6,77140,NEMOURS,,77333,0,,,0,,,,0,,,0,,
HAIER FRANCE,,GROUPE CANDY HOOVER,,,HAIER FRANCE,,,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,53,,BD,ORNANO,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
SNEF,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,BATIMENT LES COURLIS,46,,AV,KLEBER,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
SNEF,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,10-12-1 ER ETAGE,10,,BD,LOUISE MICHEL,92230,GENNEVILLIERS,,92036,0,,,0,,,,0,,,0,,
ORTEC INDUSTRIE,,,,,,,,,,50 à 99 salariés,Collecte des déchets dangereux,Collecte des déchets dangereux,Collecte des déchets dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",False,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,13,,AV,DESCARTES,91420,MORANGIS,,91432,0,,,0,,,,0,,,0,,
DAHER TECHNOLOGIES,,,,,,,,,,50 à 99 salariés,Affrètement et organisation des transports,Affrètement et organisation des transports,Autres services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Affrètement et organisation des transports,Autres services auxiliaires des transports,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,ZI MOIMONT II BAT E,0,,RUE,EUGENE POTTIER,95670,MARLY-LA-VILLE,,95371,0,,,0,,,,0,,,0,,
DAHER TECHNOLOGIES,,,,,,,,,,50 à 99 salariés,Affrètement et organisation des transports,Affrètement et organisation des transports,Autres services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Affrètement et organisation des transports,Autres services auxiliaires des transports,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,CHEZ USINE RENAULT FLINS BAT M,0,,BD,PIERRE LEFAUCHEUX,78410,AUBERGENVILLE,,78029,0,,,0,,,,0,,,0,,
TELEM,TELEM,ONET SECURITE,,,,TELEM,,,,50 à 99 salariés,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels","Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",Installation de machines et d'équipements industriels,Réparation et installation de machines et d'équipements,Industrie manufacturière,False,Commerce de détail de matériels audio et vidéo en magasin spécialisé,Commerce de détail de matériels audio/vidéo en magasin spécialisé,Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,10-12-PARC AUX VIGNES,10,,ALL,DES VENDANGES,77183,CROISSY-BEAUBOURG,,77146,0,,,0,,,,0,,,0,,
SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,SSI SERVICE,,,,SSI SERVICE,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Fabrication d'équipements de communication,Fabrication d'équipements de communication,Fabrication d'équipements de communication,"Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,PARC DES ALGORITHMES,0,,RTE,DE L'ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,0,,,0,,,,0,,,0,,
ADIDAS FRANCE,,ADIDAS FRANCE,,,,,ADIDAS,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,01-Mar,1,,RUE,BLANCHE,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
