denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,10 000 salariés et plus,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,,6,,RUE,DE MADRID,93290,TREMBLAY-EN-FRANCE,,93073,0,,,0,,,,0,,,0,,
SOCIETE GENERALE,SG,SOCIETE GENERALE,,,,SG,,,,10 000 salariés et plus,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,TOUR SG DEFENSE 7,17,,CRS,VALMY,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
SOGECAP,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,True,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,TOUR DES 2,17,B,PL,DES REFLETS,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
CAISSE DES DEPOTS ET CONSIGNATIONS,CDC,,,,,CDC,,,,1000 à 999 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,56,,RUE,DE LILLE,75007,PARIS 7,,75107,0,,,0,,,,0,,,0,,
GROUPE HOSPITALIER INTERCOMMUNAL LE RAINCY MONTFERMEIL,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,10,,RUE,DU GENERAL LECLERC,93370,MONTFERMEIL,,93047,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER RIVES DE SEINE,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,36,,BD,DU GENERAL LECLERC,92200,NEUILLY-SUR-SEINE,BP 79,92051,92205,NEUILLY SUR SEINE CEDEX,,0,,,,0,,,0,,
GRAND HOPITAL DE L EST FRANCILIEN,GHEF,,,,,GHEF,CENTRE HOSPITALIER DE COULOMMIERS,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,4,,RUE,GABRIEL PERI,77120,COULOMMIERS,,77131,77527,COULOMMIERS CEDEX,,0,,,,0,,,0,,
CENTRE HOSPITALIER DE PLAISIR,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,220,,RUE,MANSART,78370,PLAISIR,,78490,78375,PLAISIR CEDEX,,0,,,,0,,,0,,
SYNDICAT INTERDEPARTEMENTAL POUR L ASSAINISSEMENT DE L AGGLOMERATION PARISIENNE,SIAAP,,,,,SIAAP,,,,1000 à 999 salariés,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",5EME ETAGE,2,,RUE,JULES CESAR,75012,PARIS 12,,75112,75589,PARIS CEDEX 12,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CCAS,,,1000 à 999 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,5,,BD,DIDEROT,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER LEON BINET PROVINS,,,,,,,CENTRE HOSPITAL GENERAL LEON BINET,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,0,,RTE,DE CHALAUTRE LA PETITE,77160,PROVINS,BP 212,77379,77488,PROVINS CEDEX,,0,,,,0,,,0,,
CENTRE HOSPITALIER GENERAL RAMBOUILLET,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,05-Jul,5,,RUE,PIERRE ET MARIE CURIE,78120,RAMBOUILLET,,78517,78514,RAMBOUILLET CEDEX,,0,,,,0,,,0,,
CENTRE HOSPITALIER FRANCOIS QUESNAY,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,2,,BD,SULLY,78200,MANTES-LA-JOLIE,,78361,78201,MANTES LA JOLIE CEDEX,,0,,,,0,,,0,,
CENTRE HOSPITALIER INTERCOMMUNAL DE POISSY SAINT GERMAIN,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,20,,RUE,ARMAGIS,78100,SAINT-GERMAIN-EN-LAYE,BP 231,78551,78104,ST GERMAIN EN LAYE CEDEX,,0,,,,0,,,0,,
CTRE D'ACCUEIL DE SOINS HOSP NANTERRE,,,,,,,CASH DE NANTERRE,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,403,,AV,DE LA REPUBLIQUE,92000,NANTERRE,BP 1403,92050,92014,NANTERRE CEDEX,,0,,,,0,,,0,,
CENTRE HOSPITALIER INTERCOM GREGOIRE,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,56,,BD,DE LA BOISSIERE,93100,MONTREUIL,,93048,93105,MONTREUIL CEDEX,,0,,,,0,,,0,,
GROUPE HOSPITALIER PAUL GUIRAUD,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,54,,AV,DE LA REPUBLIQUE,94800,VILLEJUIF,,94076,94806,VILLEJUIF CEDEX,,0,,,,0,,,0,,
CTRE HOSPITALIER SPECIALISE ROGER PREVOT,,,,,,,,,,1000 à 999 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,52,,RUE,DE PARIS,95570,MOISSELLES,BP 60058,95409,0,,,0,,,,0,,,0,,
PHONE REGIE,,PHONE REGIE,,,,,,,,1000 à 999 salariés,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,3,,RUE,CAMBRONNE,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
SAIPEM SA,,,,,,,,,,1000 à 999 salariés,Construction d'ouvrages maritimes et fluviaux,Construction d'ouvrages maritimes et fluviaux,Construction d'ouvrages maritimes et fluviaux,Génie civil,Construction,True,Construction d'ouvrages maritimes et fluviaux,Construction d'ouvrages maritimes et fluviaux,Construction d'autres ouvrages de génie civil,Génie civil,Construction,01-Jul,1,,AV,SAN FERNANDO,78180,MONTIGNY-LE-BRETONNEUX,,78423,0,,,0,,,,0,,,0,,
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,,CIB CACIB,,,,,,,,1000 à 999 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,83,,BD,DES CHENES,78280,GUYANCOURT,,78297,0,,,0,,,,0,,,0,,
DISTRICOM SALES AND MARKETING,,,,,DISTRICOM SALES AND MARKETING,,DISTRICOM SALES AND MARKETING,,,1000 à 999 salariés,Activités des agences de publicité,Activités des agences de publicité,Activités des agences de publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",True,Activités des agences de publicité,Activités des agences de publicité,Publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",,1,,RUE,LOUIS ARMAND,92600,ASNIERES-SUR-SEINE,,92004,0,,,0,,,,0,,,0,,
MSF MEDECINS SANS FRONTIERES,,,,,,,,,,1000 à 999 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,34,,AV,JEAN JAURES,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
