mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
Candy-Hoover,"53 Bd Ornano, 93200 Saint-Denis",candy.tm.fr,01 49 15 92 00,False
FACTOFRANCE,"17 bis Passerelle des Reflets, 92988 Courbevoie",factofrance.com,01 46 35 70 00,True
SOCOTEC Équipements,"5 place des Frères Montgolfier Guyancourt, CS 20732, 78182 SAINT-QUENTIN-EN-YVELINES CEDEX",linkedin.com,01 55 47 27 46,False
SSI Service Siège (Système de Sécurité Incendie Service),"Immeuble Le Thalès, Parc des Algorithmes, Route de l'Orme des Merisiers, 91190 Saint-Aubin",ssiservice.fr,01 64 86 63 63,False
NA,NA,NA,NA,NA
Sogécap,"17 bis Pl. des Reflets, 92400 Courbevoie",assurances.societegenerale.com,09 69 36 23 62,True
NA,NA,NA,NA,NA
Autorité de Sûreté Nucléaire (ASN),"15 Rue Louis Lejeune, 92120 Montrouge",asn.fr,01 46 16 40 00,True
NA,NA,NA,NA,NA
Direction de l'information légale et administrative (DILA),"26 Rue Desaix, 75015 Paris",dila.premier-ministre.gouv.fr,01 40 58 75 00,True
Gcs Blanchisserie Interhospitalière,"16 Rue de Bauve, 77100 Meaux",NA,01 64 35 20 15,True
Centre de Recherche et de Restauration des Musées de France,"14 Quai François Mitterrand, 75001 Paris",c2rmf.fr,01 40 20 56 52,True
Monnaie de Paris,"11 Quai de Conti, 75006 Paris",monnaiedeparis.fr,01 40 46 56 66,True
Musée National de la Renaissance,"Rue Jean Bullant, 95440 Écouen",musee-renaissance.fr,01 34 38 38 50,True
Musée de Cluny - Musée national du Moyen Âge,"28 Rue du Sommerard, 75005 Paris",musee-moyenage.fr,01 53 73 78 00,True
Caisse des Dépôts et Consignations - Siège social,"56 Rue de Lille, 75007 Paris",caissedesdepots.fr,01 58 50 00 00,True
Hôtel de Sully,"48 Rue Saint-Antoine, 75004 Paris",hotel-de-sully.fr,01 44 61 20 00,True
Musée de l'Armée,"129 Rue de Grenelle, 75007 Paris",musee-armee.fr,01 44 42 38 77,True
Musée de l'Air et de l'Espace,"Aéroport de Paris-Le Bourget, 93352 Le Bourget",museeairespace.fr,01 49 92 70 00,True
Oppic,"30 Rue du Château des Rentiers, 75647 Paris",oppic.fr,01 44 97 78 00,True
Musée du quai Branly - Jacques Chirac,"37 Quai Jacques Chirac, 75007 Paris",quaibranly.fr,01 56 61 70 00,True
ECPAD (Etablissement de Communication et de Production Audiovisuelle de la Défense),"2/8 Rte du Fort, 94205 Ivry-sur-Seine",ecpad.fr,01 49 60 52 00,True
Centre Regional Oeuvres Univ Scolaires,"26 Rue du Faubourg Saint-Jacques, 75014 Paris",NA,01 44 27 02 52,False
Gip Habitat et Interventions Sociales,"3 Rue Franklin, 93100 Montreuil",giphabitat.org,01 41 58 76 76,True
Samusocial de Paris,"35 Av. Courteline, 75012 Paris",samusocial.paris,01 41 74 84 84,True
BULAC - Bibliothèque universitaire des langues et civilisations,"65 Rue des Grands Moulins, 75013 Paris",bulac.fr,01 81 69 18 00,True
Crous de l'académie de Versailles,"145bis Bd de la Reine, 78000 Versailles",crous-versailles.fr,09 72 59 65 00,False
