NomEtablissementPrive,AdresseEtablissementPrive
"Les Colibris, Ecole Montessori Internationale de Suresnes et Neuilly",16 bis rue Edouard Nieuport 92150 Suresnes
Ecole Privee Sainte-Anne,4 avenue de la Republique 91260 Juvisy-sur-Orge
Lycee Prive Sainte-Therese,7 rue Beziel 78120 Rambouillet
College La Salle Saint-Nicolas,19 rue Victor Hugo 92130 Issy-les-Moulineaux
Ecole Privee Notre Dame - Sainte Famille,106 boulevard Charles-de-Gaulle 95110 Sannois
Section de Technicien Superieur Ensemble Scolaire Sainte Catherine Laboure,29 rue Gassendi 75014 Paris 14
"College Prive Saint-Michel des Batignolles, Ensemble Batignolles Epinettes",35 avenue de Saint-Ouen 75017 Paris 17
Lycee Prive Sainte-Elisabeth,112 rue de Lourmel 75015 Paris 15
College Prive Saint-Charles,55 rue Gabriel-Peri 95240 Cormeilles-en-Parisis
Ecole Privee Sainte-Marie des Bourdonnais,40 rue des Bourdonnais 78000 Versailles
Lycee Professionnel et Technologique Prive Saint-Jean de Montmartre,31 rue Caulaincourt 75018 Paris 18
Lycee Technique Prive Saint-Nicolas,108 rue de Vaugirard 75006 Paris 06
"Lycee General et Technologique, Ensemble Scolaire La Salle Igny",10 avenue de la Division-Leclerc 91430 Igny
Institution Sainte-Therese,43 rue Pasteur 77860 Couilly-Pont-aux-Dames
Ecole du Luat,Chateau du Luat Chemin de la Baronne 95350 Piscop
College Prive Sainte Jeanne d'Arc,14 rue Alsace Lorraine 95260 Beaumont-sur-Oise
Ecole Privee Sainte-Marie,10 boulevard Gambetta 77000 Melun
College Prive Saint-Vincent - Groupe Scolaire La Madone,8 rue Championnet 75018 Paris 18
College Prive Notre-Dame Providence,9 boulevard Sadi Carnot 95880 Enghien-les-Bains
Ecole Privee Marie-Therese,5 rue de Rouen 95420 Magny-en-Vexin
Lycee Sainte-Marie de Stains,7 rue Jean Chardavoine 93240 Stains
ILFM - Institut de Formation de la Fondation pour l'Ecole,120 avenue du General Leclerc Paris 14
Apprentis d'Auteuil - Internat Educatif et Scolaire (IES) Saint Pie X,5 bis route Strategique 95330 Domont
College Prive Saint-Joseph du Parchamp,6 rue du Parchamp 92100 Boulogne-Billancourt
Ecole Privee Sainte-Marie - Groupe Scolaire La Madone,8 rue Championnet 75018 Paris 18
College Prive Saint-Louis-Sainte-Clotilde,37 allee de la Fontaine 93340 Le Raincy
"Ecole Privee du Sacre-Coeur, Ensemble Batignolles Epinettes",36 rue Dautancourt 75017 Paris 17
Lycee Prive Blanche-de-Castille,1 avenue de la Breteche 78150 Le Chesnay-Rocquencourt
Ecole Privee Notre Dame de la Croix,13 rue du Retrait 75020 Paris 20
Lycee des Metiers Cognacq-Jay Argenteuil,20 rue de la Liberte 95100 Argenteuil
Ecole Privee Sainte-Therese,Allee Golda Meir 78990 Elancourt
College Prive Sainte-Therese,7 quai Boissy-d'Anglas 78380 Bougival
Cours Marie des Lys,1 ter rue Coypel 78000 Versailles
Ecole Privee Notre-Dame Les Oiseaux,106 Grande-Rue 78480 Verneuil-sur-Seine
College Emmanuel d'Alzon - Institution du Sacre-Coeur,2 rue du Gaizon 91620 La Ville-du-Bois
123 mon ecole Bois-Colombes,6 rue Hispano Suiza 92270 Bois-Colombes
Internat du College du Luat,Chateau du Luat Chemin de la Baronne 95350 Piscop
EIMA - Ecole Internationale des Metiers Audiovisuels,10 ter rue Parmentier 93100 Montreuil
Ecole Privee Mixte Catholique Sainte-Jeanne-d'Arc,62 rue du General de Gaulle 77000 Melun
Lycee General et Technologique Prive Ensemble Scolaire Les Chataigniers,11 bis avenue Jean Jaures 78000 Versailles
College Sainte-Marie a ouverture internationale,40 rue Alfred Maury 77109 Meaux
College Prive Catholique du Sacre-Coeur,1 rue d'Estienne-d'Orves 94480 Ablon-sur-Seine
Guidepost Montessori Paris Monceau,93 rue de Monceau 75008 Paris 08
Groupe Scolaire Saint-Vincent-de-Paul Paris 13 - Lycee General et Technologique,49 rue Bobillot 75013 Paris 13
Ecole Privee Rocroy Saint-Vincent de Paul,6 rue de Rocroy 75010 Paris 10
Lycee Polyvalent Prive Blanche-de-Castille (ICEF),42 bis rue du Chateau 77300 Fontainebleau
Ecole Privee Saint-Charles,55 rue Gabriel-Peri 95240 Cormeilles-en-Parisis
"Ensemble Scolaire Maurice-Rondeau, UFA",1 place du Clos-Saint-Georges 77600 Bussy-Saint-Georges
College Prive Mixte Notre-Dame,3 avenue Gambetta 91210 Draveil
Lycee Professionnel Notre-Dame du Grandchamp,97 rue Royale 78000 Versailles
Lycee Prive Jean-Paul II - Institution du Sacre-Coeur,2 rue du Gaizon 91620 La Ville-du-Bois
"College Prive, Saint-Stanislas",2 rue des Patis CS 80013 95520 Osny
Ecole Du Breuil,Route de la Ferme Bois de Vincennes 75012 Paris 12
L'Ecole Aujourd'hui - School for Today,24 boulevard Edgar Quinet 75014 Paris 14
Lycee Prive Saint Jean Hulst,26 rue Marechal-de-Lattre-de-Tassigny 78000 Versailles
College Prive Blanche-de-Castille,1 avenue de la Breteche 78150 Le Chesnay-Rocquencourt
Lycee Prive General et Technologique Jeanne d'Arc,2 bis boulevard Toussaint-Lucas 95130 Franconville
Lycee Agricole Prive Sully,22 avenue de l'Europe 78300 Magnanville
Internat de l'Institution Sainte Jeanne d'Arc,14 rue Alsace Lorraine 95260 Beaumont-sur-Oise
Internat du Lycee Agricole Prive Sully,22 avenue de l'Europe 78200 Magnanville
Lycee Prive de l'Institut Notre-Dame,65 avenue du General-Leclerc 92340 Bourg-la-Reine
Apprentis d'Auteuil - Lycee Sainte-Therese,40 rue Jean de la Fontaine 75016 Paris 16
College Prive Notre-Dame,14 avenue Blanche-de-Castille 78300 Poissy
Lycee Professionnel La Salle Saint Nicolas,19 rue Victor Hugo 92130 Issy-les-Moulineaux
Lycee Prive St-Michel des Batignolles Ensemble Batignolles Epinettes,35 avenue de Saint-Ouen 75017 Paris 17
Ecole Privee Sainte-Mathilde,7 boulevard Aguado 91000 Evry-Courcouronnes
Apprentis d'Auteuil - Lycee Nature et Services et UFA Saint-Jean,Rond-Point de la Tour du Mail 95117 Sannois
Lycee Professionnel ESP,17 avenue Rhin et Danube 92250 La Garenne-Colombes
Lycee Agricole Prive Sully,22 avenue de l'Europe 78200 Magnanville
College Prive - Ensemble Scolaire Saint Michel de Picpus,53 rue de la Gare de Reuilly 75012 Paris 12
College Prive Sainte-Marie,3 bis chemin de la Messe 77140 Saint-Pierre-les-Nemours
College Jeanne-d'Arc - Institut Saint-Paul,26 rue d'Etampes et 6 rue Jube de la Perelle 91410 Dourdan
Ecole Perceval,5 avenue d'Epremesnil 78400 Chatou
Ecole Privee Saint-Esprit,56 rue des Meuniers 75012 Paris 12
Lycee Professionnel Prive Ensemble Scolaire Les Chataigniers,11 bis avenue Jean-Jaures 78000 Versailles
Ecole Privee Catholique - Groupe Scolaire Notre-Dame-de-France,63 rue de la Sante 75013 Paris 13
Lycee Prive Catholique Notre-Dame de la Compassion - Pontoise,8 place Nicolas-Flamel 95300 Pontoise
Lycee General et Technologique Prive Saint- Jean de Montmartre,31 rue Caulaincourt 75018 Paris 18
Ecole Privee Ensemble Scolaire Les Chataigniers,11 bis avenue Jean-Jaures 78000 Versailles
Ecole Privee Saint-Jean-de-Montmartre,31 rue Caulaincourt 75018 Paris 18
Lycee Prive Saint-Charles,2 rue Genevieve Anthonioz de Gaulle 91200 Athis-Mons
Lycee Polyvalent General Saint-Leon Senart - Institution Saint-Spire,33/35 Cote de l'Entre-Deux 91280 Saint-Pierre-du-Perray
Ecole de Management Applique (EMA),15 rue de Pondichery 75015 Paris 15
Ecole Privee Notre-Dame,34 boulevard de la Reine 78000 Versailles
Ecole Primaire (maternelle et elementaire) - Institution Sainte-Foy,12-14 rue des Capucins 77120 Coulommiers
Apprentis d'Auteuil - Campus Saint-Antoine,53 avenue Massenat Deroche 91460 Marcoussis
Lycee Professionnel Prive Saint-Erembert,7 rue Salomon Reinach 78100 Saint-Germain-en-Laye
Ecole Privee Sainte-Genevieve,72 rue de la Republique 95100 Argenteuil
Apprentis d'Auteuil - Internat Educatif et Scolaire (IES) Sainte Therese,40 rue Jean de la Fontaine 75016 Paris 16
Institution Saint-Spire,33/35 Cote de l'Entre-deux 91280 Saint-Pierre-du-Perray
Lycee Technologique Prive Notre-Dame Les Oiseaux,106 Grande-Rue 78480 Verneuil-sur-Seine
College Prive Saint-Thomas de Villeneuve,15 rue des Louviers 78100 Saint-Germain-en-Laye
College Prive Sainte-Jeanne-d'Arc,62 rue du General de Gaulle 77000 Melun
College Saint Michel de Saint Mande,10 ter rue Jeanne d'Arc 94160 Saint-Mande
Ecole Privee Pascal,33 boulevard Lannes 75116 Paris 16
Ecole Notre-Dame - Institution du Sacre-Coeur,2 rue du Gaizon 91620 La Ville-du-Bois
Lycee Prive et UFA Charles de Foucauld - Groupe Scolaire La Madone,5 rue de la Madone 75018 Paris 18
Ecole Saint-Joseph de Bellevue,29 rue Henri-Savignac 92190 Meudon
College Prive Sainte-Therese,3 rue Nicolas Potocki 78120 Rambouillet
Ecole Montessori Bilingue de Poissy,26 rue Saint-Barthelemy 78300 Poissy
Ecole Bilingue Chardin,7 Rue Chardin 75016 Paris 16
