AdresseEtablissementPrive,NomEtablissementPrive
1 AVENUE RATISBONNE 91000 EVRY-COURCOURONNES,"['Lycee polyvalent Notre-Dame de Sion', 'College Prive Notre Dame de Sion']"
1 AVENUE DE VERDUN 95300 PONTOISE,"['College Saint-Martin de France', 'College Prive Saint-Martin-de-France', 'Lycee Prive Saint-Martin-de-France']"
1 AVENUE DE LA BRETECHE 78150 LE CHESNAY-ROCQUENCOURT,"['College Blanche de Castille', 'Lycee Blanche de Castille', 'Lycee Prive Blanche-de-Castille', 'College Prive Blanche-de-Castille', ""Lycee d'Enseignement General Prive Blanche-de-Castille""]"
1 BOULEVARD DU NORD 93340 LE RAINCY,"['College Tebrotzassere', 'College Tebrotzassere']"
1 DOMAINE DU VIGNOIS 77440 ARMENTIERES-EN-BRIE,"['Lycee general prive Beth Myriam', 'College prive Beth Myriam', 'Ecole Primaire Privee David Tsemah']"
1 ROUTE DE VERSAILLES 78560 LE PORT-MARLY,"['Ecole elementaire privee Sainte Genevieve', 'Ecole Privee Sainte-Genevieve']"
1 RUE MARGOT 91170 VIRY-CHATILLON,"['Lycee Saint-Louis Saint-Clement', 'Lycee Prive Saint-Louis Saint-Clement', 'College Prive Saint-Louis Saint-Clement']"
1 RUE PASTEUR 78570 ANDRESY,"[""Ecole elementaire privee Montessori Bilingue d'Andresy"", ""Ecole Montessori Bilingue d'Andresy""]"
1 RUE DE MONTAUBAN 93410 VAUJOURS,"['College Fenelon', 'Lycee general prive Fenelon', 'College Prive Fenelon', 'Ensemble Scolaire Fenelon']"
1 RUE DES JACOBINS 77160 PROVINS,"['College Sainte-Croix', 'Lycee Sainte-Croix', 'College Prive Sainte-Croix', 'Lycee Prive Sainte-Croix']"
1 RUE DU BAC 92600 ASNIERES-SUR-SEINE,"['Ecole primaire privee Saint Joseph', 'College Saint-Joseph', 'Ecole Privee Saint-Joseph']"
