Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Adresse_1,Adresse_2,Adresse_3,Code postal,Code_commune,Nom_commune,Code_departement,Code_academie,Code_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Apprentissage,Segpa,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Lycee_des_metiers,Post_BAC,Appartenance_Education_Prioritaire,GRETA,SIREN_SIRET,Nombre_d_eleves,Fiche_onisep,position,Type_contrat_prive,Libelle_departement,Libelle_academie,Libelle_region,coordonnee_X,coordonnee_Y,epsg,nom_circonscription,latitude,longitude,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,etablissement_multi_lignes,rpi_concentre,rpi_disperse,code_nature,libelle_nature,Code_type_contrat_prive,PIAL,etablissement_mere,type_rattachement_etablissement_mere,code_bassin_formation,libelle_bassin_formation
0756487U,E.M.PR BEAUREPAIRE 28 rue Beaurepaire,Ecole,Privé,28 rue Beaurepaire,,75010 PARIS,75010,75110,Paris 10e  Arrondissement,75,1,11,1,0,,,,661949242,,,annelaure.roussel@doucesmaternelles.com,0,0,0,,,,,,,,,,,,,,,,,,,HORS CONTRAT,Paris,Paris,Ile-de-France,,,,,,,,08/07/2023,21/07/2023,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE,10,,,,,
0750210W,E.P.PR LA TRINITE 16 rue de Milan,Ecole,Privé,16 rue de Milan,,75009 PARIS,75009,75109,Paris  9e  Arrondissement,75,1,11,1,1,,,,148743001,,,ce.0750210W@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,311,,48.87886498,,,,,,,,,,,,,,,,,,,,,,,,,,
0750285C,E.P.PR LAMAZOU 80 rue Boileau,Ecole,Privé,80 rue Boileau,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,145275906,,,ce.0750285c@ac-paris.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.84117882,,,,,,,,,,,,,,,,,,,,,,,,,,
0783632Z,Ecole élémentaire privée Petite école bilingue,Ecole,Privé,6 rue Gambetta,,78440 GARGENVILLE,78440,78267,Gargenville,78,25,11,1,1,,,,613776282,,,direction@petite-ecole-bilingue.fr,0,0,0,,,,,,,,,,,,,,,,,,48.98909583,,,,,,,,,,,,,,,,,,,,,,,,,,
0783722X,Ecole primaire privée Ecole Saint Philippe Néri,Ecole,Privé,33 ter rue Jean Jaurès,,78540 VERNOUILLET,78540,78643,Vernouillet,78,25,11,1,1,,,,749840129,,,directrice@ecolesaintphilippeneri.fr,0,0,0,,,,,,,,,,,,,,,,,,48.97644505,,,,,,,,,,,,,,,,,,,,,,,,,,
0783742U,Ecole maternelle privée Ecole Montessori Main dans la Main,Ecole,Privé,20 allée des Aulnes,,78190 TRAPPES,78190,78621,Trappes,78,25,11,1,0,,,,134618302,,,ecolemontessorimaindanslamain@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.7705229,,,,,,,,,,,,,,,,,,,,,,,,,,
0910880M,Ecole primaire privée Saint Charles,Ecole,Privé,2 rue Robert Schuman,,91200 ATHIS MONS,91200,91027,Athis-Mons,91,25,11,1,1,,,,160487100,,,ce.0910880M@ac-versailles.fr,1,1,0,,,,,,,,,,,,,,,7.76E+13,,,48.71381764,,,,,,,,,,,,,,,,,,,,,,,,,,
0910882P,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,31 rue Alfred Leblanc,,91220 BRETIGNY SUR ORGE,91220,91103,Brétigny-sur-Orge,91,25,11,1,1,,,,160841124,,,ce.0910882P@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.60523485,,,,,,,,,,,,,,,,,,,,,,,,,,
0910883R,Ecole primaire privée Saint Pierre,Ecole,Privé,70 rue de Montgeron,,91800 BRUNOY,91800,91114,Brunoy,91,25,11,1,1,,,,160479999,,,ce.0910883R@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.69453683,,,,,,,,,,,,,,,,,,,,,,,,,,
0910890Y,Ecole primaire privée Notre-Dame,Ecole,Privé,2 place Rouffy,,91210 DRAVEIL,91210,91201,Draveil,91,25,11,1,1,,,,169037196,,,ce.0910890Y@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.68397768,,,,,,,,,,,,,,,,,,,,,,,,,,
